,Week,Team,Opponent,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,6,9,14,-104,6,-0.10000000000000053,-5,6,11,18,51,4,-5,-0.20000000000000018,22,-26,-155,2,-0.09999999999999964,-17,33,0.0,-3.6000000000000014,-0.5,-3.1000000000000014,0.05999999999999983,-5.333333333333336,-56.0,-67.66666666666669,11.666666666666664,0.3333333333333335,5.333333333333332,-23.666666666666686,-49.33333333333334,25.666666666666657,2.0,7
0,9,9,12,-200,-10,-0.20000000000000018,-11,2,-22,24,-108,6,-7,-0.5999999999999996,-3,-48,-92,1,0.30000000000000027,-3,5,-1.7999999999999972,-6.300000000000001,-0.5,-3.200000000000003,0.04999999999999982,-1.0,-17.0,-47.999999999999986,31.0,0.0,-1.0,-30.666666666666686,9.666666666666657,-40.33333333333333,1.666666666666667,2
0,10,9,25,-502,27,-0.7000000000000002,-15,-5,15,33,-83,-4,-10,-0.5999999999999996,15,-17,-419,1,-0.8999999999999995,-17,37,-4.5,-8.7,-0.09999999999999964,-3.8000000000000043,-0.22999999999999998,-1.333333333333334,-61.33333333333334,-81.33333333333334,20.000000000000007,1.0,0.0,-22.333333333333343,-41.33333333333333,18.999999999999993,1.3333333333333335,5
0,11,9,10,-1053,-135,-0.2999999999999998,-16,-60,-31,-60,-428,6,-9,-0.20000000000000018,-16,-90,-625,-7,-0.5,-46,17,-1.5999999999999943,-7.200000000000001,-0.2999999999999998,-2.6000000000000014,0.0,-2.333333333333332,-29.666666666666686,5.666666666666657,-35.33333333333333,0.6666666666666667,0.6666666666666679,-33.333333333333314,-32.333333333333314,-1.0,3.333333333333333,-14
0,12,9,11,-1383,-97,-0.7999999999999998,-3,-55,-27,-18,-717,-5,-4,-1.0999999999999996,-21,-97,-666,-4,-0.5,-41,23,-12.599999999999994,-2.0,-0.7999999999999998,-9.0,-0.6200000000000001,4.333333333333334,76.33333333333334,123.00000000000001,-46.666666666666664,0.9999999999999998,4.999999999999998,54.0,26.666666666666657,27.33333333333333,1.3333333333333335,6
0,13,9,10,-1053,-135,-0.2999999999999998,-16,-60,-31,-60,-428,6,-9,-0.20000000000000018,-16,-90,-625,-7,-0.5,-46,17,-1.5999999999999943,-7.200000000000001,-0.2999999999999998,-2.6000000000000014,0.0,-7.333333333333336,-93.66666666666669,-47.33333333333334,-46.33333333333333,2.0,-5.333333333333334,-7.0,-21.666666666666657,14.666666666666671,0.0,7
0,14,9,27,-506,-78,-0.10000000000000053,-1,-40,20,60,435,6,1,0.09999999999999964,14,-141,-941,-12,-0.7000000000000002,-55,36,-4.299999999999997,-0.40000000000000036,-0.40000000000000036,-2.200000000000003,-0.2400000000000002,5.999999999999998,144.33333333333334,100.33333333333334,44.0,1.0,-2.0000000000000018,-58.333333333333314,-101.66666666666666,43.333333333333336,0.6666666666666666,6
0,17,9,31,548,13,0.5,-2,31,25,-11,337,6,-4,0.5999999999999996,26,15,211,2,0.5,2,23,4.600000000000001,-1.3000000000000007,-0.09999999999999964,2.3999999999999986,0.2899999999999998,-7.0,-134.66666666666666,-30.333333333333343,-104.33333333333333,2.3333333333333335,0.6666666666666661,-1.3333333333333428,-8.666666666666686,7.333333333333329,0.6666666666666667,-18
0,1,10,13,954,121,0.2999999999999998,14,79,56,93,654,0,6,0.10000000000000053,34,30,300,11,0.40000000000000036,32,-1,2.1999999999999957,5.5,-0.20000000000000018,0.10000000000000142,0.15999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30
0,3,10,25,551,162,-0.40000000000000036,1,55,46,93,345,-10,-1,-0.39999999999999947,31,73,206,8,-0.39999999999999947,29,20,-2.9000000000000057,-1.4999999999999982,0.20000000000000018,-1.2000000000000028,-0.22999999999999998,-3.5,-4.0,50.5,-54.5,1.0,-1.0,7.0,-9.0,16.0,-1.5,-7
